totalRows,IncidentNumber,IncidentDate,IncidentTime,Exposures,Patients,Address,IncidentType,Complete,Reviewed,TypeOfServiceRequested,SupervisorLock,StationNumber,RunNumber,Imported,Latitude,Longitude
2094,2017-19747,12/31/2017,1:30:56,1,0,"604 E ILLINOIS AVE  
Peoria IL 61602
",111 - Building fire,TRUE,TRUE,,FALSE,1,2.02E+11,FALSE,40.7059782,-89.5870086
2094,2017-19669,12/29/2017,20:25:13,1,0,"202 W FLORENCE AVE  
Peoria IL 61601
","114 - Chimney or flue fire, confined to chimney or flue",TRUE,TRUE,,TRUE,10,2.02E+11,FALSE,40.7302385,-89.595125
2094,2017-19502,12/27/2017,11:32:14,1,0,"2200 N UNIVERSITY ST  
Peoria IL 61604
",111 - Building fire,TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7144248,-89.6127396
2094,2017-19471,12/26/2017,22:53:32,1,0,"1620 N GREAT OAK RD  
Peoria IL 61601
richmond",111 - Building fire,TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7083228,-89.6404129
2094,2017-19398,12/25/2017,15:49:36,1,0,"1205 N GARFIELD AVE  
Peoria IL 61601
","113 - Cooking fire, confined to container",TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7021396,-89.6080486
2094,2017-19175,12/21/2017,15:34:51,1,0,"5001 N BIG HOLLOW RD  
Peoria IL 61615
","115 - Incinerator overload or malfunction, fire confined",TRUE,TRUE,,FALSE,13,2.02E+11,FALSE,40.7483642,-89.6403624
2094,2017-19146,12/21/2017,6:25:25,2,0,"6914 N WHITE FIR DR  
Peoria IL 61615
",111 - Building fire,TRUE,TRUE,,FALSE,19,2.02E+11,FALSE,40.7728636,-89.6896316
2094,2017-19083,12/19/2017,18:25:40,1,0,"1615 N GREAT OAK RD  # 12
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7088669,-89.6408657
2094,2017-19046,12/19/2017,9:43:40,1,0,"2623 N PROSPECT RD  
Peoria IL 61603
",111 - Building fire,TRUE,TRUE,,TRUE,10,2.02E+11,FALSE,40.7194526,-89.5766607
2094,2017-18979,12/18/2017,4:57:37,1,0,"1001 S SHELLEY ST  
peoria IL 61605
",111 - Building fire,TRUE,TRUE,,FALSE,4,2.02E+11,FALSE,40.6775739,-89.6177803
2094,2017-18962,12/17/2017,18:29:54,1,0,"2003 N CALIFORNIA AVE  
peoria IL 61603
",111 - Building fire,TRUE,TRUE,,FALSE,1,2.02E+11,FALSE,40.7115041,-89.5890127
2094,2017-18953,12/17/2017,15:16:25,1,0,"1515 NE MONROE ST  
peoria IL 61602
",111 - Building fire,TRUE,TRUE,,TRUE,1,2.02E+11,FALSE,40.7060979,-89.5752409
2094,2017-18935,12/17/2017,6:03:26,1,0,"8627 N HALE AVE  
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,FALSE,15,2.02E+11,FALSE,40.7932388,-89.6096451
2094,2017-18698,12/13/2017,8:44:45,1,0,"410 W HANSSLER PL  
Peoria IL 61603
","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,10,2.02E+11,FALSE,40.7201987,-89.5989356
2094,2017-18673,12/12/2017,22:45:24,1,0,"3650 N LEROY AVE  
Peoria IL 61604
",111 - Building fire,TRUE,TRUE,,FALSE,10,2.02E+11,FALSE,40.7323379,-89.6263312
2094,2017-18660,12/12/2017,18:48:29,1,0,"3212 W ANTOINETTE PL  
peoria IL 61605
","113 - Cooking fire, confined to container",TRUE,TRUE,,TRUE,4,2.02E+11,FALSE,40.677633,-89.644325
2094,2017-18656,12/12/2017,14:43:22,1,0,"2007 N LINN ST  
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,FALSE,3,2.02E+11,FALSE,40.7117357,-89.5958488
2094,2017-18555,12/11/2017,6:27:44,1,0,"1700 W HICKORY GROVE RD  # 3101
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,FALSE,20,2.02E+11,FALSE,40.8275457,-89.6180715
2094,2017-18541,12/10/2017,21:23:10,1,0,"1420 W MARGARET AVE  
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,TRUE,11,2.02E+11,FALSE,40.7235387,-89.615692
2094,2017-18538,12/10/2017,21:13:06,1,0,"1811 W KINGSWAY DR  # D6
peoria IL 61614
",111 - Building fire,TRUE,TRUE,,TRUE,16,2.02E+11,FALSE,40.7778557,-89.6205992
2094,2017-18432,12/9/2017,0:55:17,1,0,"2208 NE MONROE ST  
peoria IL 61603
",111 - Building fire,TRUE,TRUE,,TRUE,12,2.02E+11,FALSE,40.7105844,-89.5670818
2094,2017-18403,12/8/2017,13:34:25,1,0,"1700 N SHERIDAN RD  
Peoria IL 61601
armstrong","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7081027,-89.6035611
2094,2017-18292,12/6/2017,12:36:33,1,0,"7020 N WHITE FIR DR  
Peoria IL 61615
",111 - Building fire,TRUE,TRUE,,FALSE,16,2.02E+11,FALSE,40.7739969,-89.6897002
2094,2017-18258,12/5/2017,20:22:14,1,0,"1211 N NORTH ST  
peoria IL 61603
",111 - Building fire,TRUE,TRUE,,FALSE,10,2.02E+11,FALSE,40.702533,-89.5993071
2094,2017-18248,12/5/2017,18:24:39,1,0,"2814 N RENWOOD AVE  
Peoria IL 61601
",111 - Building fire,TRUE,TRUE,,TRUE,11,2.02E+11,FALSE,40.7220705,-89.6308332
2094,2017-18229,12/5/2017,14:35:53,1,0,"714  HAMILTON BLVD  
peoria IL 61602
","113 - Cooking fire, confined to container",TRUE,TRUE,,FALSE,1,2.02E+11,FALSE,40.6962841,-89.5911262
2094,2017-18114,12/3/2017,16:00:06,1,0,"5400 N UNIVERSITY ST  
PEORIA IL 61614
","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,16,2.02E+11,FALSE,40.7530022,-89.6114019
2094,2017-18066,12/2/2017,15:59:14,1,0,"2021 N UNIVERSITY ST  
Peoria IL 61604
","115 - Incinerator overload or malfunction, fire confined",TRUE,TRUE,,TRUE,13,2.02E+11,FALSE,40.7133165,-89.6137467
2094,2017-18047,12/2/2017,9:29:36,1,0,"915 N ELMWOOD AVE  
Peoria IL 61604
","113 - Cooking fire, confined to container",TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.6986963,-89.615124
2094,2017-18033,12/1/2017,18:28:02,1,0,"2712 W OVERHILL RD  
Peoria IL 61601
",111 - Building fire,TRUE,FALSE,,FALSE,13,2.02E+11,FALSE,40.7354821,-89.6358676
2094,2017-17853,11/28/2017,16:48:07,1,0,"2029 W FORREST HILL AVE  
Peoria City (Township of) IL 61517
","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,3,2.02E+11,FALSE,40.7255533,-89.6259516
2094,2017-17778,11/27/2017,11:33:19,1,0,"709 W JOHNSON CT  
Peoria IL 61601
","113 - Cooking fire, confined to container",TRUE,TRUE,,TRUE,8,2.02E+11,FALSE,40.6867319,-89.6045179
2094,2017-17764,11/27/2017,8:35:20,1,0,"2700 N RENWOOD AVE  
Peoria IL 61604
","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,13,2.02E+11,FALSE,40.7203853,-89.6309645
2094,2017-17749,11/26/2017,19:03:03,1,0,"1541 W BUTLER ST  
Peoria IL 61605
","118 - Trash or rubbish fire, contained",TRUE,TRUE,,TRUE,8,2.02E+11,FALSE,40.6843102,-89.6181365
2094,2017-17699,11/25/2017,19:45:43,1,0,"3445 W FALLEN OAK LN  
Peoria IL 61601
2500 N Molleck Dr","113 - Cooking fire, confined to container",TRUE,TRUE,,TRUE,13,2.02E+11,FALSE,40.7190021,-89.646011
2094,2017-17654,11/24/2017,18:51:24,1,0,"404 E MAYWOOD AVE  
Peoria IL 61603
",112 - Fires in structure other than in a building,TRUE,TRUE,,FALSE,1,2.02E+11,FALSE,40.722771,-89.589703
2094,2017-17426,11/20/2017,22:58:32,1,0,"2601 W LAKE AVE  
Peoria IL 61615
",111 - Building fire,TRUE,TRUE,,FALSE,16,2.02E+11,FALSE,40.7406743,-89.6344525
2094,2017-17128,11/15/2017,14:31:34,1,0,"3026 N INDIANA AVE  
peoria IL 61603
",111 - Building fire,TRUE,TRUE,,TRUE,10,2.02E+11,FALSE,40.7241826,-89.5861895
2094,2017-17095,11/14/2017,21:55:56,1,0,"711 W MAC QUEEN AVE  
Peoria IL 61604
",111 - Building fire,TRUE,TRUE,,FALSE,3,2.02E+11,FALSE,40.7170243,-89.6040853
2094,2017-16965,11/12/2017,19:03:03,1,0,"2806 N DECHMAN AVE  
peoria IL 61603
",111 - Building fire,TRUE,TRUE,,TRUE,10,2.02E+11,FALSE,40.7216219,-89.5921348
